Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
4,128	210,784		
4,141	232,27		
4,152	224,861		
4,163	217,267		
4,175	210,043		
4,185	216,711		
4,197	216,526		
4,208	217,823		
4,219	215,044		
4,231	225,787		
4,242	229,677		
4,256	231,714		
4,27	223,935		
4,284	235,604		
4,297	243,939		
4,309	242,643		
4,321	240,42		
4,332	242,457		
4,343	242,457		
4,354	228,936		
4,365	245,236		
4,376	249,125		
4,387	245,236		
4,399	226,899		
4,41	187,446		
4,422	172,073		
4,434	174,11		
4,446	171,146		
4,457	183,742		
4,469	181,149		
4,48	174,666		
4,49	181,889		
4,503	194,485		
4,516	187,261		
4,527	175,962		
4,538	174,48		
4,55	165,219		
4,561	179,667		
4,573	172,999		
4,584	172,813		
4,595	151,698		
4,606	36,489		
4,617	36,489		
4,629	-28,339		
4,641	-33,525		
4,652	-26,117		
4,666	-22,782		
4,681	-24,264		
4,694	-27,413		
4,707	-24,635		
4,718	-22,968		
4,729	-18,337		
4,743	-23,338		
4,756	-20,745		
4,771	-25,19		
4,784	-24,82		
4,798	-12,966		
4,811	-7,779		
4,824	-15,003		
4,837	-18,522		
4,849	7,965		
4,861	1,297		
4,871	-1,111		
4,883	-3,519		
4,896	-12,225		
4,907	-24,449		
4,918	-10,558		
4,929	-1,297		
4,942	-1,297		
4,952	6,853		
4,965	3,89		
4,978	8,706		
4,989	2,223		
5	10,558		
5,013	10,558		
5,026	9,632		
5,04	8,891		
5,054	8,891		
5,066	0,37		
5,08	-5,557		
5,093	-4,075		
5,104	3,704		
5,114	6,298		
5,126	1,297		
5,137	5,557		
5,149	1,667		
5,162	-1,297		
5,175	4,26		
5,186	-11,113		
5,198	-10,373		
5,21	0,185		
5,221	17,411		
5,233	17,411		
5,244	12,78		
5,255	13,521		
5,268	2,593		
5,279	-1,111		
5,29	-10,558		
5,303	-0,926		
5,314	4,631		
5,325	12,41		
5,338	-8,706		
5,353	-14,077		
5,365	-6,112		
5,378	-4,816		
5,39	2,223		
5,402	11,484		
5,415	17,411		
5,428	24,449		
5,439	25,931		
5,45	19,078		
5,463	20,93		
5,475	20,375		
5,488	19,448		
5,5	20,189		
5,511	10,187		
5,524	12,78		
5,535	14,262		
5,545	10,187		
5,556	10,187		
5,566	10,558		
5,577	27,043		
5,588	26,117		
5,6	26,117		
5,611	28,154		
5,622	19,448		
5,633	14,633		
5,644	18,893		
5,655	9,446		
5,667	26,857		
5,678	29,451		
5,689	27,043		
5,702	27,969		
5,714	22,412		
5,727	21,301		
5,739	26,672		
5,752	27,228		
5,764	31,488		
5,777	36,119		
5,788	38,897		
5,801	30,377		
5,814	38,712		
5,827	46,676		
5,839	43,342		
5,851	39,638		
5,862	38,156		
5,872	32,97		
5,883	42,046		
5,895	40,008		
5,906	43,713		
5,917	34,822		
5,928	34,822		
5,941	44,639		
5,952	42,972		
5,966	42,972		
5,979	35,378		
5,992	34,637		
6,005	52,418		
6,019	54,456		
6,029	46,676		
6,042	44,639		
6,053	42,787		
6,064	43,713		
6,077	26,857		
6,09	25,376		
6,103	27,228		
6,114	21,486		
6,125	27,228		
6,136	34,637		
6,149	29,451		
6,162	40,193		
6,173	58,345		
6,186	57,975		
6,197	56,678		
6,207	53,715		
6,218	48,529		
6,229	37,23		
6,24	26,672		
6,252	26,672		
6,263	32,044		
6,274	34,637		
6,285	41,675		
6,296	47,788		
6,307	55,937		
6,318	64,087		
6,33	62,42		
6,34	61,679		
6,351	67,977		
6,362	70,57		
6,374	66,866		
6,385	57,419		
6,396	60,939		
6,407	57,419		
6,419	55,011		
6,431	58,345		
6,442	63,346		
6,453	62,606		
6,464	57,79		
6,474	57,975		
6,487	59,642		
6,5	61,679		
6,511	73,348		
6,525	71,681		
6,538	59,827		
6,551	65,754		
6,564	77,053		
6,577	82,795		
6,591	83,536		
6,604	85,203		
6,616	90,204		
6,628	78,35		
6,64	61,124		
6,654	70,755		
6,666	76,312		
6,678	85,018		
6,691	83,536		
6,705	74,275		
6,717	90,945		
6,729	91,315		
6,741	85,944		
6,753	78,72		
6,765	81,313		
6,777	70,57		
6,788	58,16		
6,8	64,087		
6,812	76,127		
6,823	78,905		
6,835	79,646		
6,846	86,87		
6,857	88,166		
6,87	86,129		
6,884	86,87		
6,896	83,721		
6,91	83,721		
6,922	75,386		
6,934	82,61		
6,947	91,13		
6,96	88,907		
6,973	81,684		
6,987	72,978		
7,001	77,053		
7,014	78,35		
7,025	75,386		
7,036	82,61		
7,048	89,092		
7,059	90,574		
7,073	76,868		
7,085	79,276		
7,096	91,315		
7,107	99,65		
7,119	96,872		
7,13	92,056		
7,142	91,871		
7,153	86,87		
7,165	88,722		
7,179	91,315		
7,191	89,833		
7,202	88,166		
7,214	85,203		
7,226	91,686		
7,237	91,686		
7,248	93,908		
7,261	95,761		
7,274	97,242		
7,287	103,169		
7,3	105,022		
7,311	100,576		
7,322	106,503		
7,333	108,911		
7,345	105,763		
7,359	105,022		
7,372	103,54		
7,385	103,91		
7,399	105,763		
7,412	105,577		
7,425	105,948		
7,438	110,023		
7,451	114,283		
7,465	107,615		
7,478	100,021		
7,49	107,985		
7,503	107,059		
7,516	109,467		
7,527	114,098		
7,54	117,246		
7,553	118,913		
7,566	118,913		
7,579	118,358		
7,591	114,098		
7,603	121,877		
7,614	110,208		
7,627	104,466		
7,64	103,355		
7,652	111,504		
7,664	115,209		
7,676	120,766		
7,689	125,767		
7,7	131,138		
7,712	128,36		
7,723	118,543		
7,735	112,801		
7,747	142,252		
7,761	138,732		
7,773	139,288		
7,785	140,214		
7,795	139,473		
7,809	130,027		
7,822	121,692		
7,833	118,728		
7,847	118,543		
7,861	134,102		
7,872	133,361		
7,885	135,028		
7,896	135,028		
7,907	124,285		
7,92	143,733		
7,933	145,771		
7,946	147,253		
7,96	136,88		
7,971	142,992		
7,985	153,735		
7,998	152,995		
8,011	165,775		
8,025	156,699		
8,036	137,065		
8,048	123,544		
8,059	136,324		
8,07	149,661		
8,082	160,959		
8,095	161,7		
8,107	153,921		
8,118	150,772		
8,13	147,623		
8,143	150,031		
8,155	155,958		
8,168	150,401		
8,179	150,772		
8,191	161,7		
8,201	167,812		
8,213	161,7		
8,225	161,7		
8,236	158,366		
8,248	151,698		
8,26	152,439		
8,273	158,366		
8,284	161,885		
8,296	150,401		
8,307	151,698		
8,32	159,663		
8,332	127,619		
8,345	136,51		
8,356	130,397		
8,37	131,509		
8,382	130,212		
8,395	130,027		
8,407	143,178		
8,418	146,697		
8,43	144,659		
8,441	147,623		
8,454	150,401		
8,464	145,03		
8,476	144,845		
8,487	144,104		
8,498	140,399		
8,511	140,77		
8,524	135,028		
8,536	117,061		
8,546	117,061		
8,557	104,466		
8,569	101,688		
8,581	101,688		
8,594	100,947		
8,606	97,983		
8,618	99,28		
8,63	116,876		
8,642	112,616		
8,653	113,912		
8,665	126,693		
8,678	126,322		
8,691	110,208		
8,702	99,465		
8,713	99,095		
8,725	107,8		
8,736	105,392		
8,748	91,5		
8,759	81,869		
8,771	85,944		
8,784	80,387		
8,794	78,164		
8,806	101,873		
8,818	97,798		
8,829	88,166		
8,841	83,536		
8,852	82,61		
8,866	84,462		
8,88	95,946		
8,893	95,946		
8,905	111,504		
8,918	115,394		
8,931	119,84		
8,944	110,764		
8,957	125,767		
8,97	124,841		
8,981	119,099		
8,992	109,282		
9,004	107,615		
9,017	107,244		
9,027	96,131		
9,038	103,355		
9,05	107,985		
9,062	112,616		
9,073	127,619		
9,086	137,436		
9,098	140,399		
9,111	135,028		
9,122	140,399		
9,135	136,51		
9,146	145,956		
9,158	143,733		
9,168	138,362		
9,181	136,324		
9,193	133,731		
9,204	131,509		
9,215	131,509		
9,226	129,101		
9,239	124,285		
9,253	125,581		
9,267	125,396		
9,28	126,693		
9,293	122,062		
9,306	124,285		
9,319	126,693		
9,331	130,768		
9,344	135,398		
9,357	141,14		
9,369	152,068		
9,382	165,775		
9,395	174,48		
9,409	172,443		
9,422	174,295		
9,434	174,295		
9,447	185,779		
9,46	190,78		
9,473	188,372		
9,486	178,741		
9,501	179,667		
9,514	178,185		
9,525	164,478		
9,539	154,106		
9,552	165,405		
9,564	177,444		
9,577	172,258		
9,59	169,85		
9,604	159,107		
9,617	159,292		
9,632	161,885		
9,644	165,96		
9,656	162,441		
9,668	154,662		
9,684	147,623		
9,698	112,245		
9,71	39,823		
9,723	19,634		
9,736	25,931		
9,748	33,711		
9,759	32,229		
9,771	18,337		
9,784	7,224		
9,797	16,3		
9,809	22,412		
9,821	30,562		
9,832	32,785		
9,844	34,452		
9,857	35,007		
9,869	31,488		
9,88	32,044		
9,893	34,452		
9,905	38,897		
9,918	40,008		
9,929	33,155		
9,94	17,411		
9,953	7,594		
9,966	8,706		
9,976	12,225		
9,988	13,707		
9,999	13,892		
10,011	29,451		
10,025	38,341		
10,036	48,899		
10,049	51,677		
10,062	41,49		
10,075	45,75		
10,088	40,379		
10,101	41,49		
10,114	45,38		
10,125	38,897		
10,136	31,673		
10,149	33,155		
10,162	27,043		
10,174	29,265		
10,185	15,188		
10,197	15,188		
10,208	17,596		
10,22	16,114		
10,232	16,3		
10,243	20,93		
10,256	36,119		
10,269	33,711		
10,283	25,005		
10,296	22,968		
10,308	32,414		
10,32	35,933		
10,331	40,749		
10,341	37,23		
10,352	34,822		
10,363	24,079		
10,376	27,598		
10,389	45,38		
10,4	46,862		
10,412	55,752		
10,425	55,752		
10,438	54,826		
10,451	41,49		
10,464	39,453		
10,477	44,454		
10,49	47,232		
10,503	46,306		
10,516	47,602		
10,529	47,602		
10,54	55,011		
10,551	50,196		
10,563	8,335		
10,574	-27,413		
10,585	-30,562		
10,596	-38,897		
10,608	-38,712		
10,622	-24,449		
10,633	-20,189		
10,646	-27,598		
10,658	-33,155		
10,669	-37,6		
10,68	-40,934		
10,694	-47,047		
10,706	-47,417		
10,717	-41,49		
10,729	-40,934		
10,74	-33,525		
10,752	-19,634		
10,764	-20,004		
10,775	-29,08		
10,786	-23,153		
10,798	-10,002		
10,809	-19,448		
10,82	-33,155		
10,831	-41,12		
10,842	-17,967		
10,854	-17,967		
10,867	-31,488		
10,879	-30,747		
10,889	-33,155		
10,9	-37,971		
10,911	-33,34		
10,922	-32,785		
10,934	-35,378		
10,944	-51,677		
10,957	-51,307		
10,97	-39,453		
10,982	-28,71		
10,995	-22,782		
11,008	-29,08		
11,022	-32,785		
11,034	-33,155		
11,046	-12,966		
11,057	-15,929		
11,069	-16,114		
11,082	-17,226		
11,095	-29,451		
11,107	-23,153		
11,119	-43,898		
11,13	-47,232		
11,145	-47,973		
11,158	-43,713		
11,169	-43,713		
11,181	-45,009		
11,194	-51,677		
11,207	-54,641		
11,218	-51,492		
11,229	-35,378		
11,241	-23,153		
11,252	-24,635		
11,264	-24,82		
11,275	-27,598		
11,287	-21,856		
11,298	-13,892		
11,311	-25,561		
11,322	-33,525		
11,334	-30,006		
11,345	-20,93		
11,357	-24,635		
11,37	-33,711		
11,383	-37,786		
11,394	-43,157		
11,406	-35,933		
11,418	-31,303		
11,431	-28,339		
11,444	-32,97		
11,457	-34,081		
11,47	-45,935		
11,482	-41,675		
11,495	-39,082		
11,506	-35,748		
11,518	-35,748		
11,53	-44,268		
11,54	-53,53		
11,552	-51,492		
11,564	-46,676		
11,578	-29,451		
11,591	-21,671		
11,604	-20,56		
11,617	-22,412		
11,629	-25,931		
11,64	-35,748		
11,652	-46,676		
11,663	-39,638		
11,675	-46,862		
11,688	-40,934		
11,703	-51,863		
11,714	-48,158		
11,726	-46,121		
11,739	-30,562		
11,751	-27,969		
11,762	-33,525		
11,775	-50,751		
11,789	-38,712		
11,8	-43,342		
11,812	-25,746		
11,825	-33,34		
11,836	-38,897		
11,848	-35,378		
11,86	-39,267		
11,873	-44,454		
11,886	-46,491		
11,9	-34,452		
11,913	-32,229		
11,926	-33,711		
11,939	-39,638		
11,952	-27,969		
11,964	-26,117		
11,977	-24,449		
11,99	-20,004		
12,003	-14,447		
12,015	-27,228		
12,026	-46,676		
12,037	-48,899		
12,05	-49,084		
12,062	-32,785		
12,075	-22,597		
12,088	-27,598		
12,099	-30,932		
12,11	-33,155		
12,121	-28,524		
12,134	-31,673		
12,148	-22,597		
12,161	-12,41		
12,173	-12,41		
12,184	-23,709		
12,196	-23,894		
12,207	-30,377		
12,219	-42,046		
12,23	-42,972		
12,242	-42,787		
12,253	-39,082		
12,265	-33,34		
12,277	-33,155		
12,291	-39,453		
12,304	-29,265		
12,316	-26,302		
12,329	-22,782		
12,342	-19,263		
12,355	-23,894		
12,368	-34,637		
12,379	-26,672		
12,39	-26,117		
12,402	-25,19		
12,412	-12,595		
12,424	-19,448		
12,436	-35,563		
12,448	-36,304		
12,46	-37,045		
12,472	-32,785		
12,484	-36,674		
12,498	-36,674		
12,51	-40,564		
12,522	-49,64		
12,534	-54,826		
12,544	-52,789		
12,556	-50,936		
