Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
0	-5,557		
0	-12,78		
0,006	-5,371		
0,023	2,964		
0,04	-12,41		
0,051	-15,929		
0,069	-0,741		
0,08	7,965		
0,098	6,112		
0,108	15,003		
0,124	18,337		
0,141	27,043		
0,159	19,634		
0,17	18,522		
0,18	19,819		
0,192	23,894		
0,203	26,857		
0,214	34,822		
0,225	57,049		
0,241	66,495		
0,259	69,459		
0,269	48,714		
0,28	48,343		
0,29	54,641		
0,302	61,679		
0,313	70,014		
0,325	89,833		
0,345	108,911		
0,362	104,466		
0,373	105,577		
0,384	112,245		
0,4	127,248		
0,411	126,693		
0,423	123,914		
0,433	131,323		
0,451	134,657		
0,463	133,917		
0,473	136,324		
0,483	137,991		
0,496	148,549		
0,51	154,662		
0,53	171,887		
0,541	174,295		
0,553	183,186		
0,57	184,853		
0,58	184,853		
0,59	183,742		
0,601	197,448		
0,619	199,115		
0,63	201,153		
0,641	203,746		
0,652	211,155		
0,669	221,712		
0,681	218,193		
0,692	206,895		
0,702	198,189		
0,713	197,633		
0,723	208,747		
0,734	211,71		
0,746	236,716		
0,758	246,532		
0,781	242,828		
0,791	247,273		
0,801	243,569		
0,814	243,198		
0,824	256,534		
0,836	260,239		
0,849	254,127		
0,86	248,014		
0,871	252,645		
0,881	254,682		
0,893	254,312		
0,903	254,682		
0,915	260,98		
0,925	260,98		
0,936	265,61		
0,948	271,723		
0,959	272,278		
0,973	251,163		
0,984	238,938		
0,995	249,866		
1,005	254,497		
1,018	252,274		
1,03	252,46		
1,044	273,76		
1,056	283,577		
1,069	283,577		
1,08	290,43		
1,091	281,354		
1,103	273,76		
1,114	285,985		
1,127	296,543		
1,137	307,286		
1,151	298,765		
1,163	276,909		
1,174	276,909		
1,187	278,761		
1,198	281,354		
1,21	279,873		
1,222	270,611		
1,233	266,907		
1,244	284,133		
1,254	290,245		
1,266	287,467		
1,278	286,911		
1,29	287,652		
1,303	290,245		
1,317	288,578		
1,329	274,316		
1,34	281,169		
1,351	283,948		
1,363	260,239		
1,373	244,124		
1,385	240,42		
1,396	244,495		
1,407	252,83		
1,419	251,348		
1,433	259,868		
1,446	255,608		
1,457	247,829		
1,468	251,163		
1,48	254,312		
1,491	253,941		
1,503	253,941		
1,518	247,644		
1,53	246,532		
1,542	237,271		
1,555	229,862		
1,568	225,232		
1,581	238,753		
1,595	249,866		
1,607	250,052		
1,621	243,569		
1,632	247,273		
1,643	241,531		
1,653	235,419		
1,665	232,085		
1,679	216,711		
1,693	216,897		
1,706	214,303		
1,719	232,641		
1,73	224,676		
1,741	217,823		
1,752	216,341		
1,762	213,748		
1,775	212,266		
1,788	220,972		
1,8	239,123		
1,815	239,494		
1,828	239,494		
1,84	227,084		
1,851	218,378		
1,862	235,419		
1,873	240,42		
1,883	249,681		
1,895	243,569		
1,905	240,605		
1,917	227,084		
1,927	225,232		
1,937	226,899		
1,948	222,639		
1,959	227,64		
1,97	228,195		
1,98	228,751		
1,992	229,492		
2,002	231,714		
2,013	219,305		
2,024	214,303		
2,034	205,413		
2,045	200,412		
2,055	195,225		
2,067	187,817		
2,078	188,743		
2,09	188,002		
2,1	187,261		
2,111	192,262		
2,125	190,41		
2,138	199,115		
2,151	211,896		
2,163	205,228		
2,178	198,374		
2,192	182,63		
2,204	184,112		
2,217	176,888		
2,23	168,368		
2,244	175,036		
2,255	182,26		
2,266	182,445		
2,277	177,814		
2,288	176,333		
2,3	178,741		
2,311	175,407		
2,321	178,37		
2,332	180,778		
2,343	178,741		
2,354	172,443		
2,365	155,773		
2,375	161,515		
2,386	170,591		
2,397	169,665		
2,408	184,668		
2,42	186,335		
2,43	178,555		
2,443	174,666		
2,455	169,85		
2,466	161,515		
2,477	152,254		
2,487	146,512		
2,499	149,475		
2,51	148,734		
2,522	155,217		
2,535	166,701		
2,547	165,96		
2,558	152,624		
2,571	161,7		
2,583	161,885		
2,595	173,554		
2,606	178,37		
2,618	172,628		
2,628	168,368		
2,639	162,256		
2,65	154,662		
2,66	156,329		
2,671	160,218		
2,683	160,033		
2,693	165,775		
2,705	166,331		
2,716	162,811		
2,727	162,997		
2,737	171,146		
2,748	174,851		
2,759	173,184		
2,769	164,478		
2,78	149,29		
2,792	134,472		
2,803	138,918		
2,814	138,918		
2,824	138,732		
2,834	138,918		
2,845	140,77		
2,856	153,55		
2,867	156,514		
2,877	158,551		
2,889	165,405		
2,901	165,96		
2,913	165,219		
2,925	172,073		
2,937	171,887		
