Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
0	-3,149		
0	1,111		
0,006	-1,852		
0,017	-4,631		
0,035	-13,521		
0,052	-20,189		
0,069	-27,413		
0,085	-20,189		
0,096	-27,969		
0,107	-25,746		
0,118	-23,523		
0,129	-15,374		
0,139	9,446		
0,157	4,075		
0,168	0,741		
0,178	1,667		
0,19	6,298		
0,2	16,485		
0,217	7,409		
0,23	10,743		
0,24	5,186		
0,25	-0,37		
0,261	11,854		
0,272	12,225		
0,282	14,262		
0,294	19,819		
0,308	19,819		
0,321	22,968		
0,338	21,486		
0,35	23,338		
0,362	25,005		
0,38	18,893		
0,39	17,781		
0,402	22,042		
0,412	20,745		
0,422	24,82		
0,433	29,636		
0,453	30,932		
0,469	36,674		
0,48	36,489		
0,492	34,452		
0,502	28,895		
0,513	26,672		
0,523	26,672		
0,537	21,486		
0,55	25,746		
0,564	32,97		
0,575	36,674		
0,586	12,04		
0,597	1,667		
0,609	10,928		
0,622	21,671		
0,632	21,671		
0,643	27,598		
0,654	19,448		
0,667	17,226		
0,678	10,928		
0,69	9,261		
0,7	13,707		
0,711	29,08		
0,723	34,822		
0,733	41,305		
0,745	42,787		
0,756	44,083		
0,767	51,677		
0,779	55,011		
0,791	55,197		
0,802	52,233		
0,814	46,306		
0,824	54,641		
0,834	59,271		
0,845	50,566		
0,855	51,307		
0,867	63,902		
0,878	54,27		
0,889	48,899		
0,899	58,716		
0,91	53,159		
0,921	58,716		
0,932	57,234		
0,943	52,603		
0,953	47,232		
0,966	41,86		
0,976	42,046		
0,987	55,011		
0,998	67,792		
1,01	66,68		
1,02	46,121		
1,03	38,341		
1,041	43,898		
1,052	43,157		
1,062	41,49		
1,073	45,75		
1,083	52,418		
1,095	50,936		
1,105	60,383		
1,117	75,201		
1,13	83,351		
1,144	79,276		
1,155	78,35		
1,165	77,609		
1,177	80,572		
1,19	82,054		
1,202	79,09		
1,214	74,83		
1,226	75,942		
1,239	74,46		
1,251	86,129		
1,264	88,722		
1,276	85,388		
1,286	85,388		
1,296	81,313		
1,308	86,499		
1,321	86,87		
1,331	82,61		
1,342	74,83		
1,353	65,384		
1,365	71,496		
1,377	88,166		
1,389	89,092		
1,401	81,498		
1,413	77,238		
1,423	91,315		
1,441	102,429		
1,452	94,464		
1,462	103,54		
1,472	92,797		
1,482	93,353		
1,492	104,281		
1,503	104,281		
1,516	104,836		
1,527	105,207		
1,538	102,799		
1,548	105,207		
1,56	111,875		
1,573	112,616		
1,584	114,283		
1,595	116,876		
1,607	125,026		
1,625	129,471		
1,635	129,656		
1,645	125,211		
1,655	126,137		
1,665	134,472		
1,677	133,917		
1,687	123,174		
1,699	115,394		
1,712	120,025		
1,725	139,103		
1,736	141,881		
1,748	142,437		
1,759	134,102		
1,769	123,729		
1,78	113,912		
1,79	108,356		
1,801	117,802		
1,813	122,433		
1,825	123,729		
1,839	140,585		
1,852	140,029		
1,865	144,845		
1,877	146,141		
1,889	141,881		
1,9	142,807		
1,913	134,843		
1,924	134,843		
1,935	141,696		
1,946	141,696		
1,957	160,403		
1,97	168,368		
1,98	167,812		
1,99	173,369		
2,002	181,334		
2,021	185,038		
2,031	188,928		
2,042	189,298		
2,052	183,742		
2,064	180,963		
2,077	181,149		
2,09	183,742		
2,102	180,222		
2,115	182,816		
2,126	184,853		
2,138	190,224		
2,151	192,077		
2,162	201,338		
2,174	197,078		
2,185	192,632		
2,196	188,928		
2,207	196,152		
2,22	203,931		
2,23	213,377		
2,243	216,711		
2,256	215,6		
2,269	217,823		
2,282	212,081		
2,294	203,561		
2,305	211,71		
2,316	228,01		
2,329	227,454		
2,342	214,303		
2,354	213,563		
2,369	215,971		
2,381	222,824		
2,395	229,492		
2,408	226,528		
2,421	217,267		
2,434	224,306		
2,447	246,162		
2,462	251,719		
2,472	253,756		
2,486	265,981		
2,502	265,61		
2,515	252,089		
2,528	262,462		
2,539	274,131		
2,551	272,649		
2,563	276,724		
2,576	281,725		
2,593	282,466		
2,607	278,946		
2,62	284,503		
2,633	280,984		
2,647	286,726		
2,658	283,762		
2,669	287,282		
2,681	287,837		
2,693	299,321		
2,704	303,581		
2,718	306,73		
2,731	310,99		
2,743	304,322		
2,755	304,507		
2,767	311,175		
2,779	320,622		
2,792	322,289		
2,803	317,658		
2,816	320,437		
2,826	316,547		
2,838	305,804		
2,852	311,916		
2,865	332,106		
2,878	354,888		
2,891	329,883		
2,901	341,922		
2,912	346,368		
2,922	346,368		
2,933	336,921		
2,945	344,33		
2,955	347,109		
2,966	345,627		
2,977	345,256		
2,989	344,516		
3	339,329		
3,013	340,996		
3,026	350,443		
3,037	354,888		
3,049	362,112		
3,062	364,149		
3,072	365,446		
3,083	362,297		
3,095	362,297		
3,106	362,667		
3,116	355,259		
3,127	358,222		
3,139	369,706		
3,15	378,782		
3,16	380,264		
3,175	400,453		
3,187	414,53		
3,199	395,822		
3,209	410,27		
3,22	411,381		
3,231	411,196		
3,243	408,047		
3,253	408,047		
3,264	410,455		
3,274	409,529		
3,285	413,604		
3,297	421,569		
3,311	416,938		
3,322	407,492		
3,334	409,529		
3,346	417,308		
3,357	430,83		
3,368	448,241		
3,382	448,796		
3,393	457,687		
3,405	452,871		
3,416	447,685		
3,426	458,613		
3,437	453,612		
3,447	442,684		
3,46	448,426		
3,474	447,685		
3,487	463,614		
3,501	472,32		
3,513	474,913		
3,525	473,061		
3,537	467,874		
3,547	485,841		
3,559	488,99		
3,571	480,47		
3,582	480,47		
3,592	479,543		
3,603	489,36		
3,616	494,176		
3,628	491,583		
3,639	484,174		
3,649	495,843		
3,66	512,143		
3,672	514,736		
3,683	514,365		
3,693	521,033		
3,704	534,74		
3,716	527,331		
3,728	524,553		
3,739	520,478		
3,751	519,552		
3,761	528,628		
3,773	535,481		
3,787	527,331		
3,799	517,514		
3,812	518,07		
3,826	515,292		
3,838	520,478		
3,849	526,775		
3,859	534,37		
3,872	547,335		
3,883	554,929		
3,895	557,708		
3,907	567,339		
3,918	562,894		
3,929	562,524		
3,939	560,857		
3,95	557,708		
3,962	561,042		
3,974	566,228		
3,986	566,969		
3,999	561,968		
4,012	558,263		
4,025	559,004		
4,037	580,305		
4,05	592,53		
4,063	586,232		
4,074	575,489		
4,085	569,747		
4,098	574,563		
4,112	590,863		
4,125	603,273		
4,139	600,309		
4,152	578,453		
4,165	581,231		
4,178	584,75		
4,19	590,492		
4,202	600,68		
4,216	507,697		
4,23	214,859		
4,242	126,508		
4,255	125,396		
4,266	137,065		
4,277	145,771		
4,29	150,587		
4,301	161,33		
4,314	162,997		
4,324	147,994		
4,337	154,106		
4,348	143,733		
4,361	139,103		
4,372	145,4		
4,386	142,992		
4,397	150,031		
4,411	85,573		
4,423	-1,297		
4,436	-13,336		
4,449	3,334		
4,463	7,224		
4,475	4,631		
4,487	-5,371		
4,5	-13,892		
4,511	-5,742		
4,524	-6,668		
4,534	-5,927		
4,546	-3,89		
4,557	-6,112		
4,567	2,408		
4,58	2,408		
4,593	12,595		
4,604	20,375		
4,617	23,523		
4,63	19,448		
4,644	27,969		
4,657	28,71		
4,671	21,486		
4,684	14,077		
4,697	1,297		
4,708	4,075		
4,721	6,668		
4,736	-0,741		
4,749	10,928		
4,761	13,151		
4,775	21,115		
4,785	24,635		
4,796	15,188		
4,807	16,3		
4,821	11,484		
4,833	11,113		
4,846	8,706		
4,859	18,893		
4,872	23,153		
4,885	20,93		
4,896	22,968		
4,907	22,968		
4,917	20,189		
4,928	15,744		
4,939	15,374		
4,95	14,447		
4,962	27,413		
4,973	28,339		
4,985	32,229		
4,997	39,267		
5,008	46,862		
5,02	37,23		
5,032	32,414		
5,043	36,489		
5,053	41,49		
5,065	34,822		
5,078	35,192		
5,091	37,971		
5,102	47,788		
5,114	34,081		
5,125	20,745		
5,136	20,189		
5,149	16,67		
5,16	18,708		
5,171	17,967		
5,181	28,524		
5,193	42,046		
5,204	50,566		
5,217	44,639		
5,23	44,639		
5,242	39,823		
5,253	41,12		
5,266	35,748		
5,279	51,492		
5,29	32,414		
5,302	29,636		
5,313	32,785		
5,324	27,043		
5,335	27,043		
5,348	37,971		
5,359	43,713		
5,372	52,048		
5,383	33,711		
5,394	30,747		
5,407	32,229		
5,418	46,306		
5,429	51,492		
5,441	54,456		
5,452	53,159		
5,463	38,526		
5,476	29,636		
5,489	33,34		
5,502	43,528		
5,516	60,753		
5,528	66,495		
5,54	56,493		
5,552	55,197		
5,563	55,197		
5,574	58,901		
5,585	63,902		
5,596	71,311		
5,609	56,493		
5,62	54,456		
5,631	56,123		
5,644	54,085		
5,657	51,492		
5,67	62,606		
5,683	76,497		
5,697	83,536		
5,71	79,461		
5,723	86,499		
5,734	95,205		
5,745	92,241		
5,756	85,758		
5,767	82,239		
5,779	76,868		
5,79	82,239		
5,803	74,089		
5,814	63,532		
5,827	63,532		
5,838	65,384		
5,853	67,792		
5,865	74,275		
5,878	92,426		
5,891	92,426		
5,904	100,576		
5,918	97,428		
5,93	102,614		
5,943	94,093		
5,956	93,908		
5,969	99,28		
5,982	100,021		
5,995	90,574		
6,008	95,02		
6,021	106,133		
6,032	106,689		
6,043	110,023		
6,055	108,911		
6,066	108,541		
6,077	95,761		
6,089	92,612		
6,101	116,506		
6,114	130,027		
6,127	116,876		
6,139	106,874		
6,152	87,796		
6,165	109,652		
6,179	121,692		
6,192	120,025		
6,205	118,913		
6,218	118,913		
6,231	124,1		
6,244	130,027		
6,256	132,62		
6,268	134,843		
6,279	132,62		
6,292	131,879		
6,305	130,953		
6,318	133,176		
6,331	133,917		
6,344	135,954		
6,357	135,584		
6,369	135,584		
6,383	136,51		
6,396	134,287		
6,409	129,286		
6,422	130,768		
6,435	139,844		
6,448	147,253		
6,461	145,4		
6,474	125,952		
6,486	131,323		
6,497	142,252		
6,509	147,438		
6,522	151,328		
6,534	158,181		
6,546	158,181		
6,561	168,183		
6,574	166,145		
6,588	152,068		
6,601	137,621		
6,612	146,882		
6,623	157,255		
6,635	160,218		
6,647	151,328		
6,66	141,881		
6,673	147,438		
6,685	152,068		
6,699	153,55		
6,711	162,626		
6,724	154,662		
6,736	151,698		
6,747	147,994		
6,76	146,512		
6,771	154,476		
6,782	158,551		
6,795	162,441		
6,806	170,776		
6,816	191,521		
6,827	197,078		
6,84	196,707		
6,851	193,003		
6,864	187,446		
6,873	187,446		
6,885	194,114		
6,899	193,929		
6,91	200,041		
6,923	200,782		
6,936	194,485		
6,949	193,003		
6,96	189,113		
6,973	183,371		
6,984	193,003		
6,996	195,966		
7,009	193,373		
7,022	196,522		
7,032	193,744		
7,043	206,709		
7,056	219,86		
7,071	213,192		
7,084	183,556		
7,096	188,557		
7,109	202,634		
7,121	211,525		
7,134	209,858		
7,149	214,859		
7,161	217,823		
7,173	221,898		
7,187	210,414		
7,2	210,414		
7,213	216,526		
7,229	224,306		
7,242	228,195		
7,256	220,231		
7,266	227,454		
7,277	225,602		
7,287	221,712		
7,298	222,824		
7,311	229,862		
7,322	233,011		
7,333	233,011		
7,345	228,38		
7,356	231,9		
7,367	230,418		
7,379	231,9		
7,39	234,122		
7,402	235,975		
7,414	245,421		
7,426	252,46		
7,439	250,793		
7,453	246,903		
7,466	232,455		
7,478	227,825		
7,492	223,75		
7,505	237,086		
7,518	238,383		
7,529	238,383		
7,541	251,163		
7,551	255,053		
7,562	254,682		
7,574	252,83		
7,585	258,757		
7,596	270,426		
7,609	268,018		
7,62	248,57		
7,632	247,273		
7,644	244,495		
7,656	248,199		
7,668	264,684		
7,681	256,164		
7,694	253,2		
7,707	242,272		
7,72	255,608		
7,731	271,723		
7,742	265,61		
7,754	263,202		
7,766	266,722		
7,777	263,758		
7,79	260,98		
7,802	252,46		
7,814	244,68		
7,824	216,156		
7,838	177,629		
7,851	144,659		
7,866	137,991		
7,878	129,842		
7,891	124,1		
7,904	140,399		
7,915	138,177		
7,926	153,55		
7,937	162,811		
7,949	160,774		
7,962	160,403		
7,973	140,399		
7,984	125,211		
7,995	142,252		
8,009	150,587		
8,024	148,92		
8,036	150,957		
8,049	157,255		
8,059	156,884		
8,071	164,849		
8,085	164,849		
8,098	166,516		
8,111	170,776		
8,123	170,961		
8,136	168,368		
8,149	181,149		
8,162	184,297		
8,175	181,519		
8,19	183,001		
8,204	181,334		
8,217	184,483		
8,231	198,745		
8,243	185,594		
8,256	174,11		
8,269	180,408		
8,281	191,521		
8,293	194,299		
8,303	197,633		
8,316	208,562		
8,328	211,155		
8,338	195,781		
8,351	197,448		
8,361	197,078		
8,374	208,006		
8,386	209,117		
8,397	202,079		
8,409	208,006		
8,421	205,413		
8,432	203,561		
8,444	203,005		
8,455	211,896		
8,468	199,486		
8,481	194,114		
8,494	190,595		
8,507	205,042		
8,52	204,672		
8,53	205,968		
8,542	195,04		
8,555	154,106		
8,566	115,95		
8,579	-17,967		
8,591	-27,043		
8,604	-23,523		
8,617	-15,003		
8,63	-26,857		
8,642	-37,045		
8,657	-37,786		
8,671	-41,86		
8,683	-35,378		
8,694	-26,487		
8,708	-24,82		
8,72	-21,486		
8,736	-13,151		
8,748	-13,707		
8,761	-19,448		
8,774	-13,707		
8,787	-23,153		
8,8	-22,412		
8,812	-23,523		
