Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
4,062	77,979		
4,075	79,276		
4,087	82,61		
4,099	66,495		
4,111	91,13		
4,122	85,573		
4,133	80,387		
4,146	88,166		
4,159	85,944		
4,171	77,794		
4,186	77,609		
4,199	74,83		
4,212	77,238		
4,224	86,685		
4,237	81,128		
4,25	64,273		
4,261	57,604		
4,273	66,495		
4,284	82,054		
4,296	94,464		
4,306	89,648		
4,319	93,538		
4,33	94,464		
4,34	76,868		
4,353	65,569		
4,365	61,865		
4,378	71,867		
4,388	75,756		
4,399	86,129		
4,412	80,387		
4,423	60,568		
4,434	64,273		
4,445	73,534		
4,457	76,497		
4,474	79,646		
4,488	79,831		
4,5	76,868		
4,514	66,866		
4,525	55,937		
4,536	49,269		
4,548	55,011		
4,559	52,974		
4,571	51,122		
4,585	75,386		
4,599	75,015		
4,612	73,348		
4,624	73,904		
4,635	80,572		
4,646	83,351		
4,657	78,905		
4,669	72,608		
4,683	71,681		
4,695	58,16		
4,708	63,902		
4,721	59,271		
4,734	59,271		
4,745	61,865		
4,755	58,531		
4,767	46,862		
4,777	55,567		
4,79	65,013		
4,803	65,199		
4,815	67,051		
4,828	68,903		
4,839	67,607		
4,851	70,385		
4,862	71,311		
4,872	66,31		
4,886	66,68		
4,899	66,125		
4,912	71,496		
4,924	65,94		
4,936	54,085		
4,948	50,751		
4,96	50,751		
4,971	46,676		
4,982	49,455		
4,993	61,494		
5,003	61,494		
5,016	64,828		
5,026	62,42		
5,037	63,346		
5,048	64,828		
5,059	62,05		
5,071	59,457		
5,081	60,198		
5,093	50,566		
5,103	43,713		
5,114	44,454		
5,125	48,899		
5,138	39,082		
5,151	49,084		
5,162	49,825		
5,173	42,231		
5,184	41,12		
5,196	38,897		
5,207	36,304		
5,218	32,044		
5,229	33,896		
5,24	45,195		
5,252	52,418		
5,263	57,419		
5,275	59,642		
5,287	59,642		
5,3	51,863		
5,311	45,565		
5,324	44,083		
5,336	48,899		
5,348	50,196		
5,36	52,789		
5,371	47,417		
5,382	40,379		
5,393	38,526		
5,404	35,933		
5,418	36,859		
5,431	44,268		
5,442	56,308		
5,454	60,012		
5,465	60,198		
5,476	57,419		
5,487	60,939		
5,498	57,79		
5,51	46,306		
5,522	56,864		
5,535	59,271		
5,548	72,052		
5,559	62,42		
5,572	55,752		
5,587	45,935		
5,6	40,193		
5,611	40,193		
5,624	42,416		
5,637	45,935		
5,651	58,716		
5,663	59,271		
5,678	56,123		
5,691	42,416		
5,703	41,305		
5,715	36,859		
5,726	34,452		
5,737	32,414		
5,748	30,747		
5,761	29,821		
5,772	37,786		
5,784	48,343		
5,797	50,566		
5,81	55,382		
5,823	58,531		
5,836	49,084		
5,848	39,823		
5,86	36,674		
5,871	35,748		
5,885	53,344		
5,897	52,603		
5,91	54,456		
5,923	62,791		
5,936	52,603		
5,949	41,675		
5,962	49,455		
5,974	54,27		
5,989	44,454		
6,001	50,381		
6,016	56,493		
6,027	53,715		
6,041	61,309		
6,053	60,012		
6,068	47,602		
6,08	49,084		
6,093	45,009		
6,106	36,674		
6,117	31,303		
6,128	35,563		
6,139	30,377		
6,151	46,121		
6,162	57,419		
6,174	57,79		
6,188	55,567		
6,202	40,193		
6,216	35,007		
6,229	37,6		
6,242	39,267		
6,256	32,785		
6,269	32,785		
6,28	44,268		
6,293	51,863		
6,306	54,456		
6,316	49,825		
6,328	48,529		
6,34	49,084		
6,352	51,307		
6,364	58,716		
6,375	60,939		
6,386	64,828		
6,399	57,604		
6,41	52,789		
6,422	44,083		
6,434	29,08		
6,447	32,785		
6,46	39,823		
6,473	41,675		
6,484	40,008		
6,495	43,713		
6,505	50,196		
6,517	46,862		
6,528	42,972		
6,538	42,231		
6,551	45,195		
6,562	46,121		
6,574	44,639		
6,585	53,53		
6,598	51,492		
6,611	51,492		
6,622	65,94		
6,633	63,532		
6,646	59,086		
6,657	72,978		
6,668	55,752		
6,679	38,897		
6,691	42,046		
6,702	40,564		
6,713	46,676		
6,724	40,564		
6,736	44,824		
6,747	49,269		
6,759	52,974		
6,772	57,604		
6,785	52,048		
6,798	49,64		
6,811	34,452		
6,824	35,378		
6,836	42,601		
6,847	48,343		
6,858	46,862		
6,87	49,084		
6,881	47,788		
6,893	43,713		
6,904	46,491		
6,915	55,382		
6,928	55,937		
6,938	55,937		
6,949	58,531		
6,962	59,457		
6,974	60,383		
6,987	54,641		
7	54,456		
7,012	53,715		
7,026	60,753		
7,037	63,532		
7,048	61,865		
7,059	52,048		
7,072	35,563		
7,084	36,489		
7,096	46,676		
7,107	52,233		
7,12	56,493		
7,133	55,382		
7,146	32,229		
7,159	33,525		
7,171	31,858		
7,184	43,342		
7,196	57,049		
7,207	59,086		
7,218	55,382		
7,231	55,937		
7,245	59,271		
7,258	57,234		
7,271	52,418		
7,285	55,382		
7,298	58,345		
7,31	50,381		
7,324	42,787		
7,336	35,007		
7,348	33,896		
7,359	50,936		
7,37	49,084		
7,382	44,083		
7,394	54,27		
7,406	44,639		
7,418	31,303		
7,431	39,823		
7,444	44,824		
7,455	46,676		
7,468	47,417		
7,48	34,266		
7,494	32,97		
7,507	39,267		
7,52	49,084		
7,533	45,75		
7,545	53,715		
7,557	59,642		
7,568	50,566		
7,579	44,824		
7,59	44,824		
7,604	32,044		
7,616	35,933		
7,628	36,674		
7,639	41,305		
7,651	48,899		
7,662	50,566		
7,675	64,643		
7,689	62,235		
7,7	56,678		
7,713	57,604		
7,726	62,976		
7,739	66,68		
7,75	63,532		
7,762	64,643		
7,773	62,791		
7,784	57,049		
7,795	46,306		
7,806	47,232		
7,817	44,824		
7,83	44,454		
7,842	36,489		
7,854	38,526		
7,864	40,008		
7,876	40,379		
7,887	58,16		
7,898	63,346		
7,909	58,901		
7,92	58,901		
7,931	62,606		
7,941	65,94		
7,953	68,903		
7,964	59,271		
7,976	64,643		
7,989	61,865		
8,001	61,124		
8,012	64,643		
8,024	67,236		
8,037	63,161		
8,05	55,752		
8,062	57,234		
8,075	57,234		
8,088	53,159		
8,101	54,456		
8,111	55,197		
8,123	51,863		
8,134	59,086		
8,146	64,643		
8,158	63,717		
8,169	63,161		
8,182	68,162		
8,195	72,237		
8,207	68,347		
8,22	68,347		
8,233	50,01		
8,246	50,01		
8,259	40,193		
8,273	34,452		
8,285	43,342		
8,296	42,231		
8,308	55,011		
8,319	58,716		
8,331	65,199		
8,342	60,939		
8,354	55,382		
8,364	65,569		
8,377	74,645		
8,389	73,904		
8,402	62,235		
8,416	47,232		
8,429	39,267		
8,441	36,489		
8,454	45,009		
8,468	64,828		
8,48	68,903		
8,493	72,793		
8,505	73,163		
8,517	68,162		
8,528	63,532		
8,539	65,384		
8,55	63,902		
8,562	74,645		
8,573	73,348		
8,585	73,348		
8,597	60,753		
8,607	61,309		
8,62	73,163		
8,633	64,458		
8,647	57,975		
8,659	51,863		
8,671	46,862		
8,683	48,529		
8,694	45,009		
8,705	46,862		
8,717	52,789		
8,729	55,752		
8,742	67,792		
8,755	77,053		
8,767	68,162		
8,78	74,645		
8,793	80,572		
8,806	68,533		
8,819	67,051		
8,832	55,382		
8,845	47,602		
8,858	46,491		
8,871	52,418		
8,884	53,344		
8,898	58,531		
8,911	64,087		
8,924	69,459		
8,936	63,532		
8,95	55,937		
8,962	63,902		
8,975	82,054		
8,988	76,127		
8,999	77,053		
9,011	92,982		
9,023	81,313		
9,034	71,867		
9,045	83,721		
9,056	84,832		
9,069	68,718		
9,082	56,308		
9,095	60,568		
9,107	58,716		
9,12	60,568		
9,132	66,31		
9,143	53,715		
9,155	60,012		
9,166	76,312		
9,18	78,35		
9,192	75,386		
9,204	73,904		
9,218	66,31		
9,232	58,716		
9,243	58,716		
9,257	83,165		
9,271	96,316		
9,284	89,648		
9,296	80,017		
9,309	78,535		
9,322	75,756		
9,335	77,979		
9,349	91,13		
9,363	86,499		
9,376	85,944		
