Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
0	-8,52		
0	-12,41		
0,006	-16,855		
0,023	-15,188		
0,034	-19,263		
0,051	-35,748		
0,068	-39,082		
0,084	-19,448		
0,095	-12,78		
0,106	-5,927		
0,122	-5,371		
0,134	-2,964		
0,149	-12,04		
0,161	-18,893		
0,172	-11,113		
0,182	-11,854		
0,194	-15,188		
0,204	-6,853		
0,216	-9,446		
0,226	-25,931		
0,237	-25,746		
0,247	-21,115		
0,26	-24,635		
0,27	-22,227		
0,281	-14,633		
0,292	-13,336		
0,302	-16,855		
0,314	-11,484		
0,324	-21,856		
0,336	-22,968		
0,346	-22,968		
0,358	-12,78		
0,369	-9,632		
0,383	-10,928		
0,397	-7,038		
0,41	7,409		
0,431	1,297		
0,442	-3,89		
0,453	-5,742		
0,466	-12,595		
0,475	-7,409		
0,487	-14,818		
0,497	-6,112		
0,508	7,224		
0,521	-1,667		
0,532	-11,669		
0,542	-9,261		
0,553	-5,186		
0,567	-11,113		
0,579	-0,556		
0,59	-5,186		
0,602	-20,375		
0,616	-21,856		
0,626	-4,075		
0,638	5,371		
0,651	5,557		
0,665	5,001		
0,677	5,927		
0,687	11,854		
0,7	13,521		
0,713	15,003		
0,731	8,15		
0,743	-0,185		
0,754	7,224		
0,768	2,778		
0,781	-15,929		
0,794	-7,594		
0,807	1,482		
0,821	-3,519		
0,833	-2,037		
0,845	9,261		
0,856	17,411		
0,868	22,042		
0,88	23,338		
0,891	22,782		
0,901	18,893		
0,912	19,448		
0,923	15,559		
0,933	7,779		
0,946	7,594		
0,959	9,446		
0,971	17,411		
0,982	16,114		
0,993	11,669		
1,005	13,151		
1,018	16,855		
1,03	12,225		
1,042	10,928		
1,052	9,446		
1,065	10,373		
1,076	3,334		
1,087	8,891		
1,099	17,967		
1,11	17,781		
1,123	19,263		
1,135	15,374		
1,145	18,152		
1,156	14,077		
1,167	12,225		
1,179	13,336		
1,19	12,595		
1,2	18,522		
1,21	22,782		
1,222	24,079		
1,233	28,154		
1,246	20,93		
1,256	16,114		
1,266	20,375		
1,278	37,415		
1,29	45,195		
1,301	34,266		
1,312	27,784		
1,322	23,338		
1,332	23,338		
1,343	27,043		
1,353	27,413		
1,364	29,821		
1,377	21,671		
1,387	21,301		
1,399	27,598		
1,411	25,005		
1,421	24,82		
1,433	27,969		
1,444	27,784		
1,454	22,227		
1,465	16,855		
1,475	23,709		
1,486	32,599		
1,496	31,118		
1,506	27,598		
1,518	18,893		
1,529	16,485		
1,54	27,413		
1,55	38,526		
1,562	50,196		
1,575	53,715		
1,588	44,639		
1,6	35,748		
1,611	31,858		
1,623	45,009		
1,633	46,121		
1,645	42,787		
1,655	42,787		
1,666	48,714		
1,677	53,9		
1,687	45,75		
1,7	45,935		
1,712	48,714		
1,726	47,232		
1,736	50,936		
1,746	42,231		
1,757	23,894		
1,771	28,154		
1,784	43,898		
1,796	35,748		
1,808	35,378		
1,819	37,23		
1,83	38,897		
1,841	42,416		
1,853	40,934		
1,863	40,934		
1,874	48,899		
1,886	50,01		
1,897	57,419		
1,909	57,049		
1,921	52,603		
1,931	62,606		
1,944	60,198		
1,954	53,159		
1,964	53,9		
1,974	41,675		
1,985	41,675		
1,996	32,785		
2,008	30,006		
2,021	37,6		
2,032	36,119		
2,042	48,714		
2,055	63,902		
2,067	66,68		
2,08	60,939		
2,09	64,273		
2,103	62,235		
2,115	59,086		
2,127	54,826		
2,139	46,862		
2,152	46,306		
2,163	70,755		
2,175	72,422		
2,187	70,385		
2,197	58,345		
2,208	54,085		
2,221	52,418		
2,232	62,05		
2,242	77,238		
2,254	75,571		
2,264	70,755		
2,275	67,792		
2,285	61,309		
2,296	76,682		
2,308	76,682		
2,321	62,05		
2,334	57,419		
2,347	53,715		
2,358	64,458		
2,369	69,088		
2,38	76,312		
2,391	89,463		
2,403	96,872		
2,421	94,279		
2,431	102,058		
2,442	97,057		
2,452	96,131		
2,462	92,797		
2,473	85,018		
2,483	91,871		
2,494	93,908		
2,505	95,761		
2,517	97,428		
2,527	96,501		
2,539	94,279		
2,552	97,057		
2,564	84,647		
2,579	84,462		
2,591	78,72		
2,606	89,092		
2,619	107,244		
2,634	112,986		
2,647	117,802		
2,658	108,356		
2,669	93,538		
2,68	98,354		
2,691	109,837		
2,701	101,688		
2,714	102,429		
2,724	111,134		
2,735	114,839		
2,745	110,208		
2,757	113,727		
2,77	107,43		
2,781	106,503		
2,792	112,245		
2,804	116,691		
2,816	131,323		
2,828	132,62		
2,837	122,988		
2,85	112,986		
2,864	113,912		
2,877	118,913		
2,89	120,58		
2,902	131,509		
2,914	131,509		
2,927	138,177		
2,939	138,732		
2,953	144,659		
2,966	138,362		
2,977	138,362		
2,987	134,472		
2,998	128,916		
3,01	125,026		
3,022	127,619		
3,032	125,026		
3,045	108,541		
3,057	107,43		
3,068	121,877		
3,079	134,287		
3,09	137,065		
3,101	135,769		
3,112	141,511		
3,123	140,029		
3,135	127,804		
3,147	125,211		
3,158	131,509		
3,17	138,362		
3,182	145,956		
3,193	145,215		
3,204	148,92		
3,216	150,031		
3,228	152,068		
3,24	165,034		
3,252	165,034		
3,261	161,144		
3,272	162,07		
3,281	156,884		
3,292	153,18		
3,303	153,18		
3,314	151,142		
3,326	158,922		
3,337	158,181		
3,349	148,549		
3,359	139,103		
3,37	142,252		
3,381	149,661		
3,391	149,661		
3,401	158,366		
3,412	163,367		
3,422	164,108		
3,433	160,033		
3,443	158,736		
3,454	162,811		
3,465	174,666		
3,477	186,335		
3,49	181,704		
3,5	178,37		
3,511	187,261		
3,523	179,852		
3,534	172,258		
3,545	182,26		
3,556	181,149		
3,567	186,335		
3,58	192,632		
3,592	189,113		
3,604	185,409		
3,616	177,259		
3,627	169,109		
3,639	169,109		
3,651	170,22		
3,664	181,704		
3,676	186,52		
3,687	186,52		
3,699	180,963		
3,709	173,369		
3,72	174,851		
3,731	177,444		
3,742	190,78		
3,753	200,041		
3,765	205,042		
3,776	198,93		
3,787	195,411		
3,797	202,634		
3,808	198,56		
3,821	195,596		
3,831	203,005		
3,841	210,969		
3,853	199,856		
3,864	204,672		
3,874	204,301		
3,885	200,412		
3,896	202,82		
3,906	208,006		
3,917	209,858		
3,928	207,08		
3,939	201,708		
3,95	196,522		
3,961	196,522		
3,971	193,929		
3,982	188,002		
3,993	189,669		
4,003	190,78		
4,016	193,929		
4,026	197,819		
4,037	213,007		
4,048	218,564		
4,058	212,081		
4,069	208,376		
4,08	219,86		
4,094	214,118		
4,106	214,859		
4,117	218,193		
4,128	219,86		
4,139	216,897		
4,149	223,194		
4,162	212,266		
4,172	209,488		
4,182	210,969		
4,194	217,267		
4,207	230,233		
4,22	252,274		
4,232	253,571		
4,243	240,235		
4,253	238,938		
4,265	241,346		
4,276	235,419		
4,285	235,419		
4,296	228,01		
4,307	241,902		
4,317	238,753		
4,329	230,047		
4,339	235,419		
4,35	231,529		
4,361	238,383		
4,372	244,495		
4,383	250,978		
4,393	259,498		
4,404	262,647		
4,415	269,315		
4,427	268,574		
4,437	257,09		
4,449	278,391		
4,46	280,428		
4,471	283,762		
4,482	291,171		
4,493	289,875		
4,503	277,465		
4,515	275,612		
4,527	277,65		
4,537	277,465		
4,548	275,983		
4,561	261,721		
4,574	277,835		
4,587	278,391		
4,599	270,611		
4,61	275,242		
4,622	297,469		
4,635	289,504		
4,646	284,318		
4,657	288,949		
4,668	276,909		
4,678	268,944		
4,691	263,202		
4,702	252,645		
4,714	230,603		
4,725	221,898		
4,736	217,082		
4,747	220,786		
4,759	213,192		
4,771	215,23		
4,782	207,265		
4,795	200,967		
4,808	184,853		
4,819	180,408		
4,829	141,881		
4,839	104,096		
4,849	100,947		
4,862	107,615		
4,873	137,436		
4,885	126,137		
4,896	122,062		
4,909	124,47		
4,92	122,433		
4,931	128,73		
4,943	123,544		
4,957	123,544		
4,973	136,88		
4,986	138,362		
4,998	136,88		
5,011	133,546		
5,025	138,177		
5,037	136,139		
5,051	134,287		
5,064	143,919		
5,077	152,809		
5,09	156,514		
5,103	151,328		
5,115	149,29		
5,127	169,109		
5,138	174,11		
5,152	170,035		
5,167	178,741		
5,178	176,703		
5,191	170,406		
5,204	173,184		
5,216	180,963		
5,229	177,814		
5,242	163,923		
5,255	154,106		
5,268	167,998		
5,28	191,151		
5,293	186,705		
5,305	180,037		
5,316	181,704		
5,328	177,259		
5,34	194,299		
5,351	192,447		
5,364	181,149		
5,378	189,484		
5,391	198,56		
5,405	193,188		
5,42	188,002		
5,433	194,67		
5,445	203,19		
5,457	204,672		
5,47	207,265		
5,483	208,376		
5,496	204,672		
5,508	199,671		
5,519	208,932		
5,532	215,6		
5,543	219,305		
5,554	223,379		
5,566	218,564		
5,58	228,566		
5,593	222,268		
5,604	215,785		
5,615	215,785		
5,627	211,525		
5,639	201,338		
5,652	206,709		
5,666	214,489		
5,678	210,969		
5,689	208,747		
5,701	193,003		
5,712	193,558		
5,723	191,706		
5,735	184,668		
5,746	185,038		
5,757	187,261		
5,769	193,188		
5,781	202,449		
5,793	199,486		
5,806	194,67		
5,819	190,039		
5,832	200,782		
5,846	215,23		
5,857	217,823		
5,87	217,082		
5,881	223,379		
5,893	222,083		
5,904	219,675		
5,915	223,194		
5,928	221,157		
