Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
30,968	52,974		
30,979	48,714		
30,991	36,674		
31,003	33,525		
31,016	40,749		
31,027	57,79		
31,038	66,495		
31,051	69,088		
31,062	70,57		
31,074	64,828		
31,086	63,532		
31,099	52,233		
31,113	56,123		
31,125	57,975		
31,137	55,567		
31,15	48,529		
31,161	51,492		
31,174	56,493		
31,186	51,492		
31,198	52,048		
31,209	58,901		
31,222	58,531		
31,235	64,087		
31,247	64,087		
31,26	65,754		
31,273	59,271		
31,285	44,454		
31,297	41,86		
31,309	47,973		
31,322	45,935		
31,333	39,082		
31,347	51,492		
31,36	52,048		
31,374	46,676		
31,387	54,085		
31,399	47,602		
31,413	42,601		
31,424	47,602		
31,433	57,604		
31,442	63,717		
31,453	61,865		
31,462	56,308		
31,473	48,529		
31,483	40,749		
31,495	35,748		
31,508	29,451		
31,52	31,488		
31,534	37,786		
31,547	44,454		
31,561	59,457		
31,572	59,457		
31,585	59,457		
31,598	62,976		
31,61	63,717		
31,623	65,569		
31,637	40,564		
31,65	33,34		
31,663	28,524		
31,675	41,49		
31,688	54,826		
31,7	52,048		
31,71	55,197		
31,723	59,827		
31,735	57,79		
31,747	63,161		
31,758	64,828		
31,77	58,716		
31,78	56,123		
31,791	53,53		
31,803	45,38		
31,814	38,341		
31,826	30,191		
31,839	32,97		
31,854	40,379		
31,866	53,344		
31,879	41,12		
31,892	36,489		
31,904	44,083		
31,917	44,083		
31,931	55,567		
31,945	57,604		
31,957	51,677		
31,97	43,713		
31,983	41,86		
31,996	40,008		
32,01	33,896		
32,023	30,562		
32,034	35,007		
32,045	47,788		
32,056	54,641		
32,068	51,863		
32,08	47,047		
32,092	51,492		
32,102	50,196		
32,114	40,564		
32,126	41,305		
32,139	43,157		
32,151	32,044		
32,163	25,005		
32,175	33,525		
32,185	49,269		
32,198	40,934		
32,21	44,454		
32,224	43,157		
32,237	35,378		
32,251	38,712		
32,264	37,415		
32,276	31,673		
32,288	36,304		
32,3	34,081		
32,312	42,416		
32,325	48,899		
32,336	52,974		
32,35	59,457		
32,363	51,863		
32,376	40,749		
32,389	38,156		
32,403	43,713		
32,416	45,195		
32,428	41,12		
32,441	47,973		
32,453	37,23		
32,464	40,379		
32,475	41,675		
32,486	51,307		
32,496	47,232		
32,508	40,379		
32,519	25,376		
32,529	21,671		
32,541	26,117		
32,554	34,081		
32,568	45,195		
32,581	45,195		
32,596	47,047		
32,608	52,974		
32,622	52,603		
32,633	52,418		
32,647	54,27		
32,659	48,343		
32,672	38,341		
32,684	36,304		
32,695	37,786		
32,706	29,08		
32,718	37,415		
32,73	60,568		
32,741	48,714		
32,753	33,896		
32,766	31,303		
32,778	35,007		
32,788	52,233		
32,8	34,822		
32,811	25,376		
32,822	25,931		
32,834	39,082		
32,847	54,641		
32,861	56,864		
32,874	48,158		
32,886	52,048		
32,897	43,342		
32,908	43,342		
32,919	35,007		
32,931	38,341		
32,944	45,565		
32,956	37,6		
32,968	30,377		
32,979	37,23		
32,99	31,673		
